actor_id,gname,individual,claimed
1,MANO-D,0,-9
2,23rd of September Communist League,0,-9
3,Unknown,0,-9
4,Black Nationalists,0,0
5,Tupamaros (Uruguay),0,-9
6,Unknown,0,0
7,New Year's Gang,0,1
8,New Year's Gang,0,0
9,"Weather Underground, Weathermen",0,-9
10,Left-Wing Militants,0,0
11,Armed Commandos of Liberation,0,1
12,Commune 1,0,-9
13,Eritrean Liberation Front,0,-9
14,Strikers,0,0
15,Student Radicals,0,0
16,White extremists,0,0
17,Armed Forces of National Liberation- Venezuela (FALN),0,-9
18,New People's Army (NPA),0,-9
19,Armed Revolutionary Independence Movement (MIRA),0,1
20,Popular Front for the Liberation of Palestine (PFLP),0,-9
21,Left-Wing Militants,0,1
22,"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",0,-9
23,"Weather Underground, Weathermen",0,1
24,1st of May Group,0,-9
25,Armed Commandos of Liberation,0,0
26,Rebel Armed Forces of Guatemala (FAR),0,-9
27,"Weather Underground, Weathermen",0,0
28,Ku Klux Klan,0,-9
29,Popular Revolutionary Vanguard (VPR),0,-9
30,Revolutionary Force 9,0,-9
31,Revolutionary Force 9,0,1
32,Puerto Rican Nationalists,0,0
33,Chicano Liberation Front,0,1
34,Puerto Rican Resistance Movement,0,1
35,Black Panthers,0,0
36,Dominican Popular Movement (MPD),0,-9
37,Argentine Liberation Front (FAL),0,-9
38,Argentine National Organization Movement (MANO),0,-9
39,Japanese Red Army (JRA),0,-9
40,Saor Eire (Irish Republican Group),0,-9
41,New World Liberation Front (NWLF),0,-9
42,Cuban Exiles,0,0
43,The World United Formosans for Independence (WUFI),0,1
44,Palestinians,0,-9
45,Black Nationalists,0,-9
46,Extraparliamentary Opposition (APO),0,-9
47,Armed Revolutionary Independence Movement (MIRA),0,0
48,Revolutionary Force 26,0,1
49,Black Afro Militant Movement,0,0
50,Stop the War Coalition,0,1
51,Ku Klux Klan,0,1
52,Cuban Action,0,-9
53,Jewish Defense League (JDL),0,-9
54,Black Panthers,0,-9
55,Right-wing extremists,0,0
56,Montoneros (Argentina),0,-9
57,Kabataang Makabayan (KM),0,-9
58,Irish Republican Army (IRA),0,-9
59,Ulster Volunteer Force (UVF),0,-9
60,National Committee to Combat Fascism,0,-9
